Contributing Repository,Phase Digitized,Collection Title,Creator,date created (W3CDTF),"date created (human readable, for approximate dates)",Extent,Identifier/Collection Number,Finding Aid Link,Subjects,Abstract,Additional Description,Research Interest,TROUBLESHOOTING
Drexel University College of Medicine Legacy Center,Pilot,Annual Announcements of the Woman's Medical College of Pennsylvania,Woman's Medical College of Pennsylvania,1850-1970,,1.5 linear feet,Acc. 76 (Announcements),,,"Woman's Medical College of Pennsylvania (WMCP) published an annual announcement starting in 1850 which described curriculum, faculty, student body, and course requirements and offerings. In 1914 the Annual Announcement was published with the quarterly publication, Bulletin of Woman's Medical College of Pennsylvania. The Annual Announcement continued into the 1980s.","WMCP's Annual Announcements shed light on academics, demographics, and values. Increasingly detailed breakdowns of courses, recommended reading, and faculty members reveal a curriculum that grew more rigorous to support a profession that was becoming more specialized. Additionally, course offerings reveal the confluence between medicine and Progressive and feminist reform. A course on hygiene, eventually supported by the US Social Hygiene Board, included visits to factories, water-filtration plants, and other sites. It also addressed aspects of social medicine, including sex hygiene and control of venereal disease. Announcements also offer some insights into the kind of students who attended WMC, their career prospects after graduation, and the kinds of students WMC tried to recruit. In addition to listing places of residence for students and alumnae, as well as those in the latter category who received hospital appointments, announcements describe the kinds of financial aid available to prospective students. Of particular interest is the aid available to students who wish to become missionaries after graduation.","These announcements will be of interest to researchers studying the evolution of medical education. Course offerings and descriptions reveal much about the rigor of training and the subjects emphasized by the college, as well as something of the medical knowledge that existed at the time. The broad strokes of these changes will also be interesting to historians of women's participation in Progressivism and public health.",
Drexel University College of Medicine Legacy Center,Pilot,Bulletins of the Woman's Medical College of Pennsylvania,Woman's Medical College of Pennsylvania,1914-1938,,0.5 linear feet,Acc. 76 (Bulletins),,,"An annual publication of Woman's Medical College of Pennsylvania (WMCP) listing faculty, speeches and addresses, enrolled students, and activity reports, 1915-1920.","The bulletins offer a largely synchronic picture of WMCP activities and philosophy. In addition to facts on enrollment, the geographical dispersion of alumnae, and more, bulletins offer descriptive reports and transcripts that are particularly revealing of institutional values. They discuss student missionary work, offer justifications for women as physicians and for single-sex education, describe the growing social services department, and document participation in the war effort both at home and abroad. This last issue is covered in particular detail. Reports of student activities also provide hints of college life outside of the classroom or clinic.","The bulletins capture a particularly interesting time period, one that includes the maturation of Progressive reform, the limits of Progressive internationalism, US participation in WWI, and the final push for woman suffrage. WMCP's relationships to all of these issues issues are reflected in the bulletins, and thus they will be of interest to researchers studying a variety of topics.",
Drexel University College of Medicine Legacy Center,Pilot,Catalogued books--ACC-R747/W82,Woman's Medical College of Pennsylvania. Alumnae Association,1876-1939,,1.5 linear feet,Acc. R747/W82,,,"The Woman's Medical College of Pennsylvania (WMCP) Alumnae Association published annual transactions on the activity of and scientific papers by women physician graduates of WMCP, 1876-1939.","In addition to lists of members, officers, and other organizational data, the WMCP transactions include reports on members who have died, sometimes with lengthy biographies. The richest sections of transactions include papers on, and discussion on, various medical and social topics. There is a special focus on gynecological and other women's topics and missionary work. Additionally, transactions include excerpts from the annual reports of the West Philadelphia Hospital for Women and the Woman's Hospital of Philadelphia, including some data on patient and treatment breakdowns.","This collection will be of great interest to historians studying the evolution of medical knowledge. Discussions in particular offer a rare glimpse into the contested nature of various medical theories. However, this collection is perhaps most valuable for what it reveals about WMCP graduates' views on race, class, and gender. In particular, they saw it as their duty as enlightened American women to lift up women in other parts of the world--particularly India, where the phenomenon of ""child brides"" was especially concerning. This topic receives extensive coverage. Less prominently featured, but still included, are arguments that attribute racial and class disparities to biological factors. For historians of race and class in the late nineteenth and early twentieth century woman's movement, this collection is a treasure trove.",
The German Society of Pennsylvania,CLIR,Women's Auxiliary of the German Society of Pennsylvania (Frauen-Hilfsverein) records,Women's Auxiliary of the German Society of Pennsylvania,1900-2013,,6.25 linear feet,Ms. Coll. 40,http://hdl.library.upenn.edu/1017/d/pacscl/GSP_MsColl40,"Charities|German American women|World War, 1914-1918|Immigrants|Women--Societies and clubs","The Women's Auxiliary of the German Society of Pennsylvania was founded in 1900 to serve as an additional charitable arm of the Society, with particular emphasis on charity for families in distress in the Philadelphia area. Since its founding in 1764, the German Society had provided charitable assistance to German-speaking immigrants in the community, especially those newly arrived in the country. Charity in the 19th and early 20th century was provided by individuals, churches and charitable organizations such as the German Society. With German immigration on the decline in the early 20th century, the Women's Auxiliary assumed the greater portion of the Society's charitable work. After the First and Second World Wars the Auxiliary engaged in war relief to German speaking lands directly and in cooperation with Quaker relief agencies. As state and federal government undertook more and more welfare work in the city, the auxiliary charter was changed in the 1950s to provide scholarship aid to students who majored in German language study. The records include annual reports, charters, bylaws, minute books, treasurer's reports, correspondence, fundraising materials, newsletters, and ephemera.",,,
"Haverford College Libraries, Quaker & Special Collections",CLIR/Pilot,The Female Society of Philadelphia for the Relief and Employment of the Poor records,The Female Society of Philadelphia for the Relief and Employment of the Poor,1795-1978,,6.25 linear feet,HC.MC-1234,http://archives.tricolib.brynmawr.edu/resources/__1234,,"The collection includes mostly administrative records, as well as pamphlets, newspaper clippings, and photographs from major gatherings and events. The charter from the Female Society's incorporation in 1815 is also included. The collection dates from the Female Society's founding in 1795 until 1978. The administrative records include Minutes, 1795-1978; Treasurer's Books, 1795-1907; Resumes of Account, 1845-1914; Investments, 1845-1933; Legacies from 1816; Subscribers' Names, 1812- 1894; Donations, 1904-1914; Record of Particular Cases from 1828; Standing Committee Minutes, 1838- 1891; records from the Committee of Admission, 1868-1873; House of Industry Weekly Reports, 1830- 1919; Names of Scholars; Cooperation with other Societies; Time Books, 1935-1943; Payroll Books, 1947- 1949; Monthly Reports, 1940-1947; Budgets and Monthly Reports; and records of Women's Savings, 1923- 1949. In addition, there are pamphlets, invitations, newspaper clippings, and some photographs from a reception held in 1889, the centennial celebration in 1895, and the sesquicentennial celebration. There is an account of Anne Parrish, silhouettes of Anne Parrish, a diagram of a quilt made by the women of the Female Society, and a notebook by Catharine W. Morris from 1802. There are also miscellaneous papers and images from throughout the Female Society's history.",,"Although this association had much in common with other charitable organizations-- its members preferred providing work to aid whenever possible, and they were careful to distinguish between the ""worthy"" and ""unworthy"" poor, occasionally denying someone admittance for reasons like uncleanliness or intemperance--it also differed in ways that point to a diversity of strategies within Philadelphia's benevolent community. For instance, they aided men as well as women, providing clothing, coal, and groceries to the infirm. They also aided women of different races and ethnicities, mentioning interactions with ""colour'd"" and German aid recipients. This collection would be quite valuable for a study of the organization's day-to-day activities.",
"Haverford College Libraries, Quaker & Special Collections",CLIR,Sharpless Family papers,"Kite, Mary, 1793?-1861",1748-1875,,1.25 Linear Feet (3 boxes),HC.MC-1111,http://archives.tricolib.brynmawr.edu/resources/hcmc-1111,,"This collection is comprised of the single volume commonplace book of Mary Kite, which includes extracts from her diary and correspondence, and an account of a religious visit to North Carolina. Diary entries concern family news, and her attendance at Quaker meetings and social events.",,Need to fix description in column K,
"Haverford College Libraries, Quaker & Special Collections",CLIR/Pilot,Rebecca Singer Collins papers,"Collins, Rebecca, 1805-1892",1824-1886,,0.5 linear feet,HC.MC-1196,http://archives.tricolib.brynmawr.edu/resources/hcmc-1196,,"Letters and diaries of Rebecca Singer Collins (1804-1892), a nineteenth-century Quaker well known for her religious and philanthropic work. The collection contains many letters between Rebecca and Isaac Collins during his extended business trip to London in 1845. Rebecca's diaries in the form of booklets and individual pages are dated 1824-1847. Entries are not in order; some are on stray pages rather than in books, and some of the entries in books have been copied from stray ""scraps."" Most entries concern Rebecca's religious feelings and her often-repeated desire to dedicate herself more and more fully to her faith. Some later entries describe her charitable visits to prisoners, the poor, the sick, and the patients of an insane asylum. One diary is dedicated to the illness and death of Rebecca's brother Henry, including accounts of the remedies offered by doctors, and of Henry's mental and spiritual condition.","Collins's main interlocutor was her husband; her letters to him largely concern religion, family, her and others' health, and her daily activities. The most interesting parts of this collection are diaries from the 1840s. While earlier writings focus on Collins's religious journey, later diaries describe her visits to prisons and almshouses in some detail, including descriptions of her interactions with prisoners. Visits include several trips to Blockley Almshouse, including one with Dorothy Dix , as well as to the Moral Reform Retreat for Coloured Women, Moyamensing Prison, the Magdalen Asylum, and the House of Refuge.","While not about women's rights per se, Collins's writings show how religion pushed women to be involved in public life. Like her friend Dorothy Dix, Collins felt that she had a right and a duty to enter spaces like almshouses and prisons, ministering to both women and men. Papers also offer a glimpse of how an elite Quaker woman viewed prisoners, the poor, ""women of immoral character"" (her emphasis) and more.",
"Haverford College Libraries, Quaker & Special Collections",CLIR,Julia Wilbur papers,"Wilbur, Julia, 1815-1895",1843-1908,1843-1908 (bulk 1843-1895),2.5 Linear Feet (6 boxes),HC.MC-1158,http://archives.tricolib.brynmawr.edu/resources/hcmc-1158,Diaries|Women abolitionists|Women--Suffrage--United States|Women in education|Women's rights--United States,"Although not as well known as many of her female contemporaries, Julia A. Wilbur was an active anti-slavery and women's rights proponent during the 19th century. The daughter of Mary Lapham and Stephen Wilbur, Julia was born into a Quaker family on August 8, 1815, near Rochester, New York. In 1844, Julia began teaching in the Rochester public school system. She notes several times in her journals her frustration at the wage gap between male and female teachers--an injustice that likely helped fuel her later engagement with women's rights efforts. One notable event is Julia's early life was her initial interaction with Harriet Jacobs in April of 1849. Jacobs, herself a freed slave, would eventually befriend Julia during their work with freed and escaped slaves in Alexandria, Virginia. It is also important to recognize Julia's early involvement with the Rochester Ladies' Anti-Slavery Society, for which she served as a correspondence secretary. Julia's life changed markedly in April of 1858, when her sister, Sarah, died. As a result of this tragedy, Julia became the guardian of Freda, Sarah's daughter. Julia seems to have taken well to her new, motherly role. Yet, things took a turn for the worse in January of 1860, when Freda's father, who had recently remarried, decided to claim custody of Freda. Having her niece so abruptly pulled from her life was devastating for Julia; she was launched into a severe depression that continued for about two years. Fortunately, Julia's unhappiness did ultimately lift. This emotional shift was triggered in large part by her move to Alexandria, Virginia in October of 1862. Sent to Virginia by the Rochester Ladies' Anti-Slavery Society, Wilbur worked there alongside Harriet Jacobs providing supplies and education to freed slaves. This work was emotionally and physically taxing for Julia and exposed her to the sufferings of others in a very personal way. In 1865, Julia made yet another shift by moving to Washington, DC. She became increasingly involved with the women's rights movement and also took a job working in the U.S. Patent Office. According to a letter written by Julia's great-niece, Julia was the first woman admitted to work in this office. Julia spent her last years living in Washington D.C. with her sister, Frances, until her death in 1895. ","This collection is comprised of Julia Wilbur's personal journals, which span from 1844 to 1895. It is important to note that Julia's journals vary in type. The first journal variety, which includes the years 1856-57 and 1860-95, are pocket-sized, individual books. The second journal style is larger in dimension than the first set. They are not bound books, but instead are individual pages that have been sewn together. These journals go from 1844 to 1873. There is some overlap in time among the different journal varieties, specifically for 1856-1857 and 1860-1873. Comparing corresponding entries reveals generally similar content, often with further elaboration in the entries of the second journal type due to the increase in writing space. Julia also wrote what she refers to as ""journal briefs"" for the years 1844 through 1862. These briefs offer summaries of her entries for those year and presumably represent what Julia saw as the most significant events that had occurred during those times. https://www.alexandriava.gov/uploadedFiles/historic/info/civilwar/JuliaWilburDiary1860to1866.pdf http://www.paulawhitacre.com/",,
"Haverford College Libraries, Quaker & Special Collections",CLIR,Aimwell School records,"Aimwell School (Philadelphia, Pa.)",1796-1935,,1.25 Linear Feet (3 boxes),HC.MC-1183,http://archives.tricolib.brynmawr.edu/resources/hcmc-1183,,"The Aimwell School was founded in 1796 by Anne Parrish (1760-1800) and was run originally out of Parrish's own home on North 2nd Street in Philadelphia as an educational opportunity for poor girls. The school's mission was to provide a ""proper"" education to young girls while charging no more than a small regular fee for the usage of books. No tuition was charged and the school ran entirely on donations. Parrish and her coworkers worked towards the same mission, forming together as the Society for the Free Instruction of Female Children, under the management of the Society of Friends.  In 1859, the Society for the Free Instruction of Female Children was incorporated and the name was then changed to the Aimwell School Association. As the institution grew, it moved to four different locations before settling in the Friends' Meeting House at 6th & Noble Streets in Philadelphia in 1889, where it stayed until 1914. In 1915 it reopened at 865-69 N. Randolph Street in Philadelphia and emphasized the fundamental goals of spiritual, mental, moral, and physical education for their students.The school was open until 1923; the corporation dissolved in 1935. The funds were transferred to a Friends fiduciary group.","The Aimwell School Records (1796-1935) consist primarily of minute book records and various documents related to the operation and administration of the Aimwell School. There are 13 volumes of minute books, including extracts and drafts of minutes, 1797-1935. Financial information includes 11 volumes of treasurer's accounts, 1797-1895, including an account of the cost of building a new school house in 1825 and documents regarding bequests and donations. There are several legal documents, 1886-1919 and 1935, including mortgages, bonds, deeds, and insurance contracts. There are records of the general operation of the school, 1796-1920, including regulations, a school constitution, articles of association, typed histories, catalogues and an account of the library, and a log of all enrolled students. Also included in this collection are some miscellaneous materials, namely, a series of photographs related to the school as well as several keys to the Aimwell School buildings and the original box for these records. There were several principal contributors to the Aimwell School, namely: Anne Parrish, Sarah Richie, Sarah Bacon, and Margaret Warder, who were some of the first members of the Society for the Free Instruction of Female Children. Catharine Morris was also an early member to the Society and provided significant financial support for the institution. Mary Wheeler served as the first treasurer, and Mary M. Leeds later served as treasurer as well for an extensive period of time.",,
"Haverford College Libraries, Quaker & Special Collections",CLIR/Pilot,The Female Association of Philadelphia for the Relief of Women and Children in Reduced Circumstances records,The Female Association of Philadelphia for the Relief of Women and Children in Reduced Circumstances,1800-1999,,4 linear feet,HC.MC-831,http://archives.tricolib.brynmawr.edu/resources/hccoll831,,"The records of a women's charitable Quaker organization based in Philadelphia spanning the 19th and 20th centuries, which provided money to needy women and children while building assets with which to accomplish their work. The records include: A history of the association; correspondence, 1800- 1955, including letters of officers of the Female Association: Hannah Boudinot, Susan Bradford, Gladys Connelly, Mary Hodge, Margaret Stocker; also Elias Boudinot, Benjamin Chew, Benjamin Rush, and James Vanuxem; Board of Directors reports, 1804-1830s and undated; Committee reports, 1810-1812; Legal papers, 1802-1972, including agreement of account with Pennsylvania Company, amendments to charter and by-laws and articles of incorporation; Financial accounts, 1801-1967; and a line cut seal of incorporation designed by Thomas Sully, 1811.","Most of the records of this organization, which employed women in spinning, are administrative, dealing with donations, changes to the constitution and by-laws, etc. Correspondence is all incoming; in addition to the members listed earlier, some of it is addressed to early member and prominent Philadelphia philanthropist Rebecca Gratz. Meeting minutes are also administrative, dealing with the election of officers, finances, committee reports, facilities, and more.","Scattered observations reveal what members of this organization believed about the causes of poverty and the role of women. Members remained tied to an individual rather than structural understanding of poverty, believing it was connected to sin and immorality. Thus, they aimed to help the ""worthy"" poor--widows in particular, or, as they put it, ""real widows"" (emphasis theirs). Nonetheless, they saw their activism as proof that women could exercise influence outside of the household ""to a certain extent"" (emphasis theirs) without adversely affecting their domestic duties.",
"Haverford College Libraries, Quaker & Special Collections",NEH/Pilot,Josiah White papers,"White, Josiah, 1781-1850",1797-1949,,10 linear feet,HC.MC-1166,http://archives.tricolib.brynmawr.edu/resources/hcmc-1166,"Douglass, S. M. (Sarah Mapps), 1806-1882|White, Rebecca, -1906","Josiah White was a 19th-century engineer and the inventor of a method to bring coal down the Lehigh River, a tributary of the Delaware River in Pennsylvania. He was also heavily involved in the education of many among America's less privileged, establishing a number of manual labor schools in the midwest. The collection includes White's business and personal papers, as well as the papers of Hannah White Richardson and Rebecca White, his daughters, whose interests extended to religious and community affairs.","Rebecca White was involved in a variety of philanthropic causes. She was a Quaker member of the Board of Managers of the Woman's Hospital and Corporation member of the Medical College of Pennsylvania. Her papers include approximately 200 letters, six journals, and additional materials including financial records, religious notes, and genealogy.

Rebecca White maintained a friendship with abolitionist and educator Sarah Mapps Douglass. The collection includes thirteen letters from Douglass to White, written between 1854 and Douglass's death in 1882. Letters describe Douglass's religious journey, her fondness for Rebecca, her own family history (with a particular focus on her mother and grandfather) and their attempts to confront racism, her time at Woman's Medical College, and the challenges of teaching.","Rebecca White’s papers reveal much about her philanthropic and religious interests, but the highlight of the collection is her correspondence with Sarah Mapps Douglass. While Douglass was a leader in the Philadelphia Female Anti-Slavery Society, these letters are unique in providing her individual voice--particularly important for a movement that was for African Americans but for which the bulk of the extant documents come from white women. These letters, by contrast, offer an illuminating look at Douglass's activism and the challenges she faced, as well as the nature of an interracial friendship in the nineteenth-century US.",
Historical Society of Pennsylvania,NEH/Pilot,Caroline Katzenstein papers (Am.8996),"Katzenstein, Caroline",1850-1865,approximately 1850-1865,0.9 linear feet,Am.	8996,https://hsp.org/sites/default/files/legacy_files/migrated/findingaidam8996katzenstein.pdf,,"The Caroline Katzenstein papers document Katzenstein's participation in the women's suffrage movement from 1909 to 1921, her efforts to help women obtain equal pay for equal work in the 1920s, her tireless promotion of the Equal Rights Amendment from 1923 to 1965, and her early career as an insurance agent (1909-ca. 1930). Katzenstein's book, Lifting the Curtain, is in HSP's library collections. Among the materials are her typed and handwritten correspondence; papers pertaining to her book, Lifting the Curtain; her published paper, ""The Sporting Spirit"" tracts, broadsides, and convention programs from national and Pennsylvania suffrage groups; her executive secretary reports for the Pennsylvania Woman's Suffrage Association; correspondence pertaining to the National Woman's Party and the Equal Rights Amendment; ERA resolutions, hearings and congressional testimonies; a scrapbook with newspaper clippings; photographs of women suffragists; and a 1955 review of Lifting the Curtain, presented on WCAUFM, Philadelphia. There is scant information on Katzenstein's personal life or her family.",,"These papers offer a lively firsthand account of the suffrage movement in Pennsylvania. Katzenstein was involved in almost every suffrage organization in Pennsylvania at one time or another, often holding positions where she was responsible for detailing the group's activities, cultivating relationships with the press, and more. Thus, these papers provide a wealth of documentation on evolving suffrage strategies, including lobbying legislators, holding open-air meetings and parades, and organizing the Liberty Bell tour. Further, they demonstrate the close relationship between state and national activism, detailing the frequent visits Alice Paul and others made to Pennsylvania and the participation of many Pennsylvania women in picketing the White House, along with their subsequent imprisonment. They also document some of the conflict within the suffrage movement, including between NAWSA and the NWP, as well as the role of race within the movement. These papers also illustrate continuity between first- and second-wave feminism through Katzenstein's long activist career.",
Historical Society of Pennsylvania,NEH/Pilot,"New Century Trust records, Collection 3097",,1854-2004,approximately 1854-2004 (bulk 1882-2000),49.7 linear feet,3097,https://hsp.org/sites/default/files/legacy_files/migrated/findingaid3097nct.pdf,,"The New Century Trust was founded in 1893 as the incorporated body of the New Century Working Women's Guild. Eliza Sproat Turner (1826-1903), a progressive women's activist, helped create both organizations. Over several decades, the trust oversaw and provided financial support for the guild's activities for women in the workforce. The records of the New Century Trust include their own and mostly those of the New Century Guild and its predecessor, New Century Working Women's Guild. Spanning from the mid-1800s to the early 2000s are board and committee meeting minutes, administrative files, membership materials including members' information cards, financial records, photographs, artifacts, clippings, and ephemera.","Although this is a large collection, the bulk of its materials are from the post-1920 period. Those that do fit into the project scope are, like meeting minutes, mostly procedural. They do, however, paint a picture of the New Century Guild as somewhere between a settlement house, a union, and a social club by and for self-supporting women. Both meeting minutes and office account books also provide insight into the kinds of evening classes the Guild offered. Given that the organization shared DNA with the Consumers League (Florence Kelley was a founder), it is not surprising that these sources place special emphasis on investigating and improving the working conditions of women and girls. Other points of discussion involved suffrage, home life and paid work, and women's contributions to the war effort. Extant copies of publications, clippings, conference programs, etc., date almost entirely from later in the 20th century.","Despite the presence of such prominent Philadelphians as Lucretia Blankenburg and Charlotte Peirce on the Executive Board, the fact that the Guild aimed to be an organization by and for working women allows their voices to come through. The Guild thus differed from many other organizations established for working women in the same era. Members were proud to work for wages and based much of their identity on this activity, particularly interesting given the wide range of occupations represented by the Guild's membership. These records will thus be interesting to historians of women, wage work, and class consciousness.",showing item-level image - 3097 must also be an item-level identifier. Tell Ryan that all these collection descriptions should match ONLY with canned collection description image - no active image matching necessary
Historical Society of Pennsylvania,NEH,Annual reports for Association of Friends for the Free Instruction of Adult Colored Persons (Wh.591)                        ,Association of Friends for the Free Instruction of Adult Colored Persons,1858-1890,,,Wh. 591,,,Annual reports for Association of Friends for the Free Instruction of Adult Colored Persons,,,
Historical Society of Pennsylvania,CLIR/Pilot,Dora Kelly Lewis correspondence (2137),"Lewis, Dora Kelly, 1862-",1850-1965,approximately 1850-1965,0.75 linear feet,2137,https://discover.hsp.org/Record/ead-2137/Description#tabnav,"National Woman's Party | Lewis, Dora Kelly, 1862- | Paul, Alice","Dora Kelly Lewis served actively in the suffrage movement. She became an executive member of the National Woman's Party in 1913, served as the chairman of finance in 1918, and as the national treasurer in 1919. In 1920, she headed the ratification committee. The correspondence of Dora Kelly Lewis consists of encouraging and endearing letters from her husband, Lawrence Lewis, 1884-1903, reporting on his legal practice and commenting on Dora's suffragist activities. Letters from 1914-1921 are, for the most part, from Dora to her children and her mother. Several 1917 and 1919 letters detail picketing, watchfires, and other demonstrations, as well as the arrests and imprisonment that followed. Letters from 1919-20 discuss her travels as she worked to convince state legislatures to ratify the Nineteenth Amendment. There are a few typed diary pages. These letters document her efforts in gaining the franchise for women.",,"A strong collection documenting the suffrage movement, especially for students who may not be aware of the sacrifices suffragists made and the poor treatment they received. Beyond the visible drama of arrests and imprisonment (including her correspondence from prison), Lewis's letters also document the long, slow work of organizing. Prolific in her communication with family members, Dora's letters trace her fundraising and lobbying efforts across the country, and offer a glimpse into the inner workings of NWP. The collection also contains correspondence between Dora and Lawrence preceding their marriage in 1883, which should be of interest to historians of social relationships, courtship, and nineteenth-century American society in general.",
Historical Society of Pennsylvania,CLIR/Pilot,Woman Suffrage Society of the County of Philadelphia (Am 3154),Woman Suffrage Society of the County of Philadelphia,1892-1901,,0.08 linear feet,Am. 3154,,,"Made up of meeting minutes of the Woman Suffrage Society of the County of Philadelphia, these notes are largely procedural, noting budgets, the election of officers and members, committee reports, and the like. These notes demonstrate the kinds of tactics suffragists used at this time, including pursuing press coverage, distributing literature, bringing suffrage speakers to women's groups, holding letter writing campaigns, sponsoring essay contests, and hosting fundraisers. There is also some discussion of petitioning the state legislature, as well as of related issues including women's employment, the single tax movement, the arguments of anti-suffragists, and suffrage developments elsewhere in the nation. Among those involved in this activism were such prominent Pennsylvania suffragists as Jane Campbell, Charlotte Peirce, Lucretia Blankbenburg, and Rachel Foster Avery. Additionally, these notes include summaries of lectures given by speakers including Henry Blackwell and Anna Howard Shaw. Finally, this volume documents debates over relationships among local, state, and national organizations.",,"Although a single volume, these notes are dense and information-packed. Researchers interested in a case study of a local suffrage organization will find them of use, but there is little that will advance the literature on the broader suffrage movement in the last decade of the nineteenth century. As noted, however, they do shed some light on membership, tactics, and relationships among local, state, and national organizations.",
Historical Society of Pennsylvania,CLIR/Pilot,Woman Suffrage Party of Logan meeting minutes (Am 8894),Woman Suffrage Party of Logan,1915-1920,,0.04 linear feet,Am. 8894,https://discover.hsp.org/Record/ead-Am.8894/Description#tabnav,"Shaw, Anna Howard | Suffragists | Women--Political activity | Women--Societies and clubs","Begun as the Germantown branch of the Woman Suffrage Party, this woman's organization called itself the Logan Suffrage League until 12 July 1915, when it changed its name to the Woman Suffrage Party of Logan. Its social, literature, membership, and press committees had as their mission the sponsorship of women's suffrage speeches and the distribution of circulars advertising such occasions and other fund-raising events. This minute book, 16 March 1915 to 10 December 1919, of regular, public, special, and executive meetings includes two photographs of suffragist Anna Howard Shaw. Also included is a dance program from a dance held 16 January 1920 at the Hotel Rittenhouse, sponsored by the Philadelphia League of Women Citizens in honor of the death of Wolstan Dixey.","Largely procedural meeting minutes from 1915-1919, these notes describe events hosted, fundraising efforts, officers' elections, dues collection, and the like. This volume is interesting largely for its documentation of how the suffrage movement had changed by the twentieth century's second decade. Suffragists by this point were increasingly using public tactics; members of the Woman Suffrage Party of Logan held open-air meetings, hung banners across Broad Street, advertised in newspapers, staged theater performances, monitored polling places, attended hearings in the state legislature, and actively worked to defeat state politicians who voted against state suffrage. There is little to no discussion of some important national and even state-level developments in the suffrage movement; for example, minutes do not explicitly mention the failed 1915 state referendum, although they do discuss the successful 1919 state campaign. Originally the Germantown (Philadelphia) branch of the Woman Suffrage Party, this organization changed its name to the Pennsylvania League of Women Citizens in 1919, when Pennsylvania women won the right to vote.","The notable absences in these papers make it difficult for researchers to glean much about the particular trajectory of the Pennsylvania suffrage campaign. As noted, this volume is most useful for what it documents about the changing strategies of suffragists between the late nineteenth century and the second decade of the twentieth century.",
Historical Society of Pennsylvania,CLIR,Philadelphia Home for Aged and Infirm Colored Persons (Wh. 583),"Home for Aged and Infirm Colored Persons (Philadelphia, Pa.)",1865-1924,,,Wh. 583,,,Annual Reports of the Board of Managers of the Home for Aged and Infirm Colored Persons,,,
Historical Society of Pennsylvania,CLIR,Logan Family Papers (0379),"Logan, Deborah Norris, 1761-1839",1638-1964,1638-1964 (bulk 1670-1872),35 linear feet,Collection 379 | Collection 380,http://www2.hsp.org/collections/manuscripts/l/Logan0379.html,,"The diaries of Deborah Norris Logan, wife of George Logan, eminent Philadelphian, friend of Thomas Jefferson, reflect the social life of many prominent Philadelphia families, and political, religious, and cultural developments. Because of Mrs. Logan's association with many of the prominent men of the Revolutionary and early national periods, her biographical notes on John Adams, Samuel Adams, Joseph Bonaparte, Pierce Butler, John C. Calhoun, John Dickinson, Benjamin Franklin, Stephen Girard, John Hancock, Stephen Hopkins, Thomas Jefferson, Henry Laurens, Joseph Reed, Roger Sherman, Francis Lightfoot Lee, John Randolph, Edward Rutledge, Timothy Pickering, John Penn, Thomas Penn, Richard Peters, Charles Thomson, General James Wilkinson, George Washington, are particularly interesting. Other topics include the Declaration of Independence, Revolutionary War, cholera and yellow fever epidemics, slavery, European conditions, Napoleonic Wars, national and local events, travel and transportation facilities, natural phenomena and weather conditions, Friends meetings, and literature. Index available.",,,
Historical Society of Pennsylvania,CLIR,Magdalen Society of Philadelphia Records (2016),Magdalen Society of Philadelphia,1800-1974,1800-1974 (bulk 1800-1918),5 linear feet,Collection 2016,https://hsp.org/sites/default/files/legacy_files/migrated/findingaid2016magdalensociety.pdf,,"The Magdalen Society of Philadelphia was a private charitable organization founded in 1800 by a group of Philadelphia men under the presidency of Bishop William White of the Protestant Episcopal Church and continuously governed by men until 1916. Its original purpose was to rescue women ""fallen from a condition of innocence and virtue,"" but in 1849, the Managers, at the urging of George Williams, began to consider ways to expand the role of the Society to include educating the girls and women for jobs. Not until after the passage of the Pennsylvania Child Labor Law, 1916, was the society able to redirect its energies: it sold the Magdalen Home, its asylum, elected women to its Board, and appointed a woman director. The following year it embarked upon a program of visiting working children to urge them to return to school. In 1918 it changed its name to the White-Williams Foundation for Girls and, two years later, to the White-Williams Foundation.","The bulk of the records are for the society's asylum, purchased in 1807. They contain: minutes of the board of managers, 1800-1916; minutes of the annual meetings of the society, 1837-1916, including accounts of work done and letters from former Magdalens; minutes of the weekly visiting committee, 1878-1912, including personal information on the inmates and conditions at the home; matron's diaries of daily events at the home, 1829-1834, 1878-1917; ledger, 1832-1878; account books, 1871-1921; register of admissions and discharges, 1836-1917, including personal data and some follow-up reports concerning the women after their departure.Some published annual reports are bound in with managers' minutes, 1885-1916; the majority are available in the Historical Society's Library.",,
Historical Society of Pennsylvania,CLIR,Indigent Widows' and Single Women's Society/Ralston House Records (3099),"Indigent Widows' and Single Women's Society of Philadelphia | Ralston, Sarah",1817-1985,,31 linear feet,Collection 3099 | Collection 1400,https://hsp.org/sites/default/files/mss/findingaid3099indigentwidows.pdf,,"The Indigent Widows and Single Women's Society of Philadelphia was founded in 1817 by Sarah Ralston, a Quaker. She organized this charitable organization for women of good ""Christian"" character. The name was eventually changed to the Ralston House when the organization admitted men. The collection contains correspondence, 1824-1862, account books, and other business papers.",,,
