"contributing repository -  this field can go, wasn't sure if might be needed","identifier","subject","spatial","full text",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F63_014","Junior, Edith Estelle| Commercial High School| Ere, M.B.| Saunders, G. A.| Lewis, C. A.| Truitt, B. C.| Hamill, S. A.| Browne, E. M. (Elsie)| Layton, M| Turner, S. P.| Bailey, R. U.| Autorire, F. C.| Powell, T. L.| Leunon, J. S.| Edwards, P. M.| Gordon, Alfred| Appleman, L. F.| Tucker, M. R.| Taylor, P. J.| Barnes, W. H.| Henry, R. W.  | African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","Pennsylvania, United States| Pittsfield, Massachusettes, United States",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F87_001","Reid, Helen H.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","30 Prospect Avenue, Bryn Mawr, Montgomery County, Pennsylvania, United States| 2 Prospect Avenue, Bryn Mawr, Montgomery County, Pennsylvania, United States| 1241 North 10th Street, Philadelphia, Philadelphia County, Pennsylvania, United States| 850 North 13th Street, Philadelphia, Philadelphia County, Pennsylvania, United States| 40.022613, -75.323047| 40.023216,-75.321965| 39.971893,-75.152275| 39.969031,-75.157774",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F87_002","Sharpe, John S.| Reid, Helen H.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","30 Prospect Avenue, Bryn Mawr, Montgomery County, Pennsylvania, United States| Haverford, Montgomery County, Pennsylvania, United States| 40.022613, -75.323047| 40.002241, -75.320811","This is to certify that Helen Hortense Reid of #30 Prospect Ave. Bryn Mawr is in good health and to the best of my knowledge has always been a strong robust girl. 
 
Dr. John S. Sharpe
 
January 26th, 1916.
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F87_003","Reid, Helen H.| Greene, Joseph P.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","30 Prospect Avenue, Bryn Mawr, Montgomery County, Pennsylvania, United States| 5th Street SE and E Street SE, Washington, Washington County, District of Columbia, United States| 40.022613, -75.323047| 38.882728, -76.999513","Feb. 3. 1916. Washington  D.C.
To whom this may concern: I, the undersigned party, have been knowing the applicant, Miss Helen H. Reid of No. 30, Prospect Ave. Bryn Mawr Pa. for about eight years, and to know her is to know a first class young Lady, who comes from a very nice family.
Having pastored in her town, and but recently moved here where I am engaged as pastor of the above named church.
She is a good christian lady, having been baptised by my hands about five years ago as near as I can remember.
I believe she is honest and upright, and one who will do all in her power to succeed in whatever vocation to which she may be called.
Very truthfully,
Rev. Joseph P. Greene D.D.
",,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F87_004","Reid, Helen H.| Rothrock, Mary A.| Madison, Pearl L.| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","1060 Broad Street, Newark, Essex County, New Jersey, United States| Harrisburg, Dauphin County, Pennsylvania, United States| 40.72613,-74.177071| 40.282145,-76.880425",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F87_005","Reid, Helen H.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","30 Prospect Avenue, Bryn Mawr, Montgomery County, Pennsylvania, United States| 40.022613,-75.323047",,,,,,,,,,,,
"Bates","MDHR_MC78_BX04_S6_F9_001","Bowman, Effie S.| Mercy-Douglass Hospital (Philadelphia, Pa.). School of Nursing| African American nurses| African American nursing schools| Minority women| Nurses--Training of| Nurses, Black| Nursing| Nursing schools| Women nurses| Women in medicine| Medical women","85 Green Street, Hartford, Connecticut, United States",,,,,,,,,,,,
"Drexel","local: r747_w82_1876","Women medical students| Medical education| Woman's Medical College of Pennsylvania. Alumnae Association| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1877","Barton, Amy S.| Betts, Helen| Cleveland, Emeline H. (Emeline Horton), 1829-1878| Scarlett, M. J. (Mary J.)| Tyng, A. E. (Anita Elizabeth), -1913| White, Frances Emily, 1832-1903| Annual reports| Medicine--Case studies| Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania. Alumnae Association| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1878","Woman's Medical College of Pennsylvania. Alumnae Association| Woman's Medical College of Pennsylvania| Cleveland, Emeline H.| Hall, Sarah| Trout, Jenny K.| Cox, Julianna T.| Gaston, Emma F.| Needham, Lizzie W.| Gerry, Ruth A.| Brown, Jennie G.| Tyng, Anita E.| Keller, Elizabeth C.| White, Frances Emily| Scarlett-Dixon, Mary J.| Pollard-Sawyer, E. H.| Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1879","Woman's Medical College of Pennsylvania. Alumnae Association| Woman's Medical College of Pennsylvania| Keller, Elizabeth C.| Scarlett, M. J. (Mary J.)| Tyng, A. E. (Anita Elizabeth), -1913| Barton, Amy S.| White, Frances Emily, 1832-1903| Cook County Hospital (Chicago, Ill.)| Gaston, Emma F.| Forbes, Elizabeth E.L., -1877| Bradley, Melissa A.| Green, Lucilla H., -1878| Cleveland, Emeline Horton, 1829-1878| Marshall, Clara, 1848-1931| Follansbee, E.A.| Allen, Mary E.| | Nephrology--Study and teaching| Leprosy| Medicine| Women in medicine| Women physicians| Medical colleges| Medicine--Study and teaching| Gynecology--Study and teaching|Obstetrics--Study and teaching| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1880","Woman's Medical College of Pennsylvania. Alumnae Association| Woman's Medical College of Pennsylvania| Keller, Elizabeth C.| Scarlett, M. J. (Mary J.)| Tyng, A. E. (Anita 
Elizabeth), -1913| Barton, Amy S.| White, Frances Emily, 1832-1903| Pratt, Romania B.| Irish, Delilah S., 1842-1878| Baker, Sibella T., 1841-1879|          Judson, Eliza E.| Belcher, H.G.| Brown, Charlotte Blake| Bottsford, Harriet A.| Betts, Helen L.| Medicine| Women in medicine| Women physicians| Medical colleges| Medicine--Study and teaching| Gynecology--Study and teaching| Obstetrics--Study and teaching| Tonsillitis| Ventral hernia| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1882","Allen, Mary E.| Barton, Amy S.| Broomall, Anna E.| Gilchrist, Beatrice Carwadine| Keller, Elizabeth C.| Lkens, Anna| Marshall, Clara, 1848-1931| Payne, Jane| Mackie, Laura V. G.| Scarlett, M. J. (Mary J.)| Tyng, A. E. (Anita Elizabeth), -1913| White, Frances Emily, 1832-1903| Annual reports| Medicine--Case studies| Medicine--Formulae, receipts, prescriptions| Umbilical cord--Abnormalities| Uterus--Prolapse| Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania. Alumnae Association| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.17041| Providence, Rhode Island, United States| 41.823989, -71.412834",,,,,,,,,,,,
"Drexel","local: r747_w82_1883","Woman's Medical College of Pennsylvania. Alumnae Association| Woman's Medical College of Pennsylvania| Keller, Elizabeth C.| Scarlett, M. J. (Mary J.)| Broomall, Anna E.| Tyng, A. E. (Anita Elizabeth), -1913| Barton, Amy S.| Medicine| Women in medicine| Women physicians| Medical colleges| Medicine--Study and teaching| Gynecology--Study and teaching| Prescriptions, formulae, receipts, etc.| Obstetrics--Study and teaching| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1884","Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania. Alumnae Association| Hibbard, Sarah A., 1838-1884| Rice, Annie E., 1852-1884| Sumner, Jeannette J.| Denlinger, Eliza H., -1884| Du Bois, Emilie B.| Betts, Helen L.| Jones, Mary D.| Keller, Elizabeth C.| Scarlett, M. J. (Mary J.)| Barton, Amy S.| Tyng, A. E. (Anita Elizabeth), -1913| Munro, Sarah R.| White, Frances Emily, 1832-1903| | Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1892","Benn, Rachel R.| Reifsnyder, Elizabeth, 1858-1922| Curry, Ida Florence| Eddowes, Anna| Homet, Mary Minnis| Seward, Sara C.| | Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania--Alumni and alumnae| Missionaries, Medical--China| Missionaries, Medical--India| Obstetrics| Women in missionary work| Women's health services| Missionary Work and Public Health Allen, Mary E. (Mary Elfreth)|  Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1894","Dillon, Halle Tanner| Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania--Alumni and alumnae| African American women physicians| School physicians| Racial and Ethnic Diversity |  Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1898","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1899","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1900","Fullerton, Anna M. (Anna Martha, 1853-1938| Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania--Alumni and alumnae| Women's health services| Women--Education--India| Missionary Work and Public Health| Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1901","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1902","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1903","Marshall, Clara| Seabrook, Alice M| Grissom, Mary W.| Broomall, Anna E.| Walker, Gertrude A.| Brooks, Helen E.| Lathrop, Ruth Webster| Dercum, Clara T.| Caldwell, Bertha T.| Robinovitch, Louise G.| Hirschler, Rose | Woman's Medical College of Pennsylvania| Women in medicine| | Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1904","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1905","Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1906","Philadelphia, Pennsylvania| Missionary Work and Public Health| Missionaries, Medical--China| Woman's Medical College of Pennsylvania--Alumni and alumnae| Woman's Medical College of Pennsylvania| Women in missionary work| Women physicians--China| FullertonAnna M. (Anna Martha)1853-1938| Medical education| Missionaries, Medical--India| North India School of Medicine--Ludhiana| Women physicians--India| Women--Education--India| Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1907","Philadelphia, Pennsylvania| Missionary Life and Public Health| Student Life| Committees| Woman's Medical College of Pennsylvania| Woman's Medical College of Pennsylvania| Young Women's Christian Association| Woman's Medical College of Pennsylvania| Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,,,,,,,,,
"Drexel","local: r747_w82_1909","Noble, Mary Riggs, 1872-1965| Philadelphia, Pennsylvania| Missionary Work and Public Health| Racial and Ethnic Diverstiy| Student Life| Woman's Medical College of Pennsylvania| Committees| Woman's Medical College of Pennsylvania| Young Women's Christian Association| Woman's Medical College of Pennsylvania| Morris, Sarah I. |  Medical women","21st Street and North College Avenue, Philadelphia, Pennsylvania, United States 39.975035, -75.170417",,,,"spatial","description","publisher","isPartOf","full text","Biographical / historical note","Notes","local data 3","parent collection"
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19215","Douglass, S. M. (Sarah Mapps), 1806-1882| White, Rebecca, -1906| Friendship| Poetry| Quaker women| Women teachers| | Across Racial Lines","Philadelphia, Pennsylvania, United States 39.952584, -75.165222","Phila. 9th mo. 19th. 60.
 
Dear R,
 
Yes, with heart felt [sic] gratitude I accept thy valuable gift. The life of Stephen Grelet [Grellet] must be a treasure to the Christian pilgrim. 
 
Thanks to my Heavenly Father’s tender love and sweet remembrance, it came a birthday gift. Today I am fifty four years old! To how little purpose have I lived!! For more than thirty years I have been teaching others, yet how little have I learned myself of the great Teacher of Nazareth. ‘Tis past meridian, my face is towards [p. 2] the setting sun. What have I gathered for life’s evening? What for this world? What for the next? For this life there is (seemingly) nothing but poverty, contempt, trial! For the next I have, O, glorious thought, hope in Christ!! Then oh my soul,
 
“Then trim thy light, 
And get thy jewels all reset; 
‘’Tis past meridian, but still bright
And lacks some hours to sunset yet.’
At fifty four, 
Be strong and true;
Scour off thy rust and shine anew. 
‘Tis yet high day thy staff resume, 
And fight fresh battles for the truth;
For what is age but youth’s full bloom
[p. 3] A riper more transcendent youth!
 
A [underlined] wedge of gold [/underlined] is [underlined] never [/underlined] old;
Streams broader grow as downward rolled.
Keep thy locks wet with morning dew, 
And freely let thy graces flow; 
For life well spent is ever new, 
And [underlined] years anointed younger grow. [/underlined]
So work away;
Be young for aye;
From sunset breaking into day.”
 
I am much interested in your school and rejoice to hear that it is prospering. I pray that the Divine blessing may rest upon it. 
 
I have a large school and many lazy children. I feel so poor and ignorant, so barren and empty, that I tremble when the hour [p. 4] for school arrives. While I was in the country I prayed often “Anoint me anew for the work I humbly believe thou hast given me to do.” I sometimes think this state is in answer to my petition. Dost thou not think it may be?
 
My heart often turns to thee in tender love but I do not write for fear of tasking thee. I have written thy name and mine in the books thou hast so kindly sent, may they be found written in the “Lamb’s book of Life”, 
Prays fervently,
S. M. Douglass.
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19217","Douglass, S. M. (Sarah Mapps), 1806-1882| White, Rebecca, -1906| Friendship| Lectures and lecturing--Planning| Quaker women| Travel| Across Racial Lines","Philadelphia, Pennsylvania, United States 39.952584, -75.165222","Phila. 10th mo. 29th. 1860.
 
My dear Friend, 
 
I have been invited by my New York sisters to lecture to them. Our managers have kindly consented to my going. I did not inform thee of it before because the time had not been fixed. Now if nothing occur [sic] to prevent I am going on the 10th of next. It seems a weighty service. I doubt not I shall have thy warm sympathy. I hope you now have comfortable health and your sister also. When I read “Ragged Homes.” I thought of thee, and wished thou wert well enough to go into such homes in this city and that I could go with thee.
 
My husband was quite ill last week with neuralgia in his left eye, he is now able to go out though not well. With love to your sister,
  
I am affectionately yours. S.M.D.
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19224","Douglass, S. M. (Sarah Mapps), 1806-1882| Preston, Ann, 1813-1872| White, Rebecca, -1906| Faith and reason--Christianity| Friendship| Quaker women| Women in missionary work| Women teachers| | Across Racial Lines","Philadelphia, Pennsylvania, United States 39.952584, -75.165222","Dear R,
 
I thank you kindly for Baikes’ work on Africa. I have not had time to read it, my brother carried it home with him and wishes me to thank you for him. He reads every thing he can get on the subject. I do not want him to go, but as he wishes it, and I cannot prevent it, I have at length yielded to it. I am deeply interested in Africa but do not feel willing to give up my brother to go there. However, I have laid the matter (where I endeavor to lay all my burdens) before Him who says “ Cast thy burden on the Lord and he [underlined] will [p.2] sustain [/underlined] thee” and am trying to wait patiently for the end. I feel deep sympathy for those who are called to a missionary life in that far off, glorious, but long neglected land.
 
I think with deep interest of those who may be [underlined] truly called [/underlined] to the work! Holy men and women [underlined] called of God, [/underlined] and annointed [sic] by [underlined] him! [/underlined] Qualified by him! Bearing with them that meek, loving, earnest, working spirit that made Justine Johnson so eminently useful. There is a very interesting young woman now in my school whose husband is going out as [p. 3] missionary to Africa and she wishes to qualify her self [sic] to help him teach; She is a very delicate looking little creature and seems, as far as I can judge, to have the right spirit, she is gentle, humble and affectionate. I am thankful to have the influence of such an [sic] one in my school. 
 
Nearly all my “smart [illegible]” are gone down, “higher”, I have suffered in parting with them, for I was tenderly attached to them. Every day the six come in a band at mid-morning recess to greet me with bright faces and loving words, and when they go away a shadow seems to fall upon me. [p. 4] Dear R, will you please give me that poor sketch of Grandfather Bustill. One of the family wishes a copy and I have none to give. 
 
11 mo. 28. This note, dear friend, was begun the day after I received thy acceptable present, but I found no time to finish until today. I often think of you, with kindest wishes for your present and everlasting good. I work very hard just now, and recreate by attending Ann Preston’s lectures. I cannot describe the pure intellectual enjoyment they give me. How marvelously has God fashioned these poor bodies! How imperative the duty that they be used to his glory. [underlined] Can [p. 6] we use them to his glory if we are wholly ignorant of the laws which he has laid down for their proper government? I think not. Then light, more light, for the people that they “may read, mark, learn and inwardly digest.
 
[Margin] Have you heard recently of my beloved friend Hetty Williams? [/margin]
 
I hope to begin my lectures next month. I see duty clearly, yet I shrink and shiver and feel [underlined] so little! [/underlined]
 
“Oh thou my voice inspire
Who touched Isaiah’s hallowed lips with fire.”
 
I like Ann Preston as a teacher of Physiology. I have heard several eminent Professors but she excels them all in bringing great truths [underlined] clearly [/underlined] [p. 5] before her pupils.
 
I fear we are going to lose one of our Teachers, Robert Campbell, he has the African fever badly. We shall miss him sadly, he has ever been kind and loving to us. Always looking bright and pleasant and ever on the alert to do some kind office. I am ready to weep when I think of his leaving us. How thankful I feel for our good managers. I am especially grateful to Thomas Wistar and Israel Johnson, our exercise for the Institution seems to run parallel and we have sometimes been favoured to take “sweet counsel together.” I have a budget of talk for thee, dear R, but [cross-hatched] I fear I should tire thee out, so ‘tis well I have no time. Much love to your sister. Fare thee well, is my fervent prayer. S. M. Douglass
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19231","Douglass, S.M. (Sarah Mapps)| White, Rebecca| Robinson, Frances| Faith and reason--Christianity| Quaker women| Women teachers| Friendship| Across Racial Lines","Philadelphia, Pennsylvania, United States","[p.1] Phila. 12 Mo. 16th. 1861. 
My dear R,
When I parted from you the day of our meeting I took my way home tearfully but glad, for the language of my grateful soul was was brought low and [illegible] me.  I had been so poorly in body and so anxious about my beloved brother who is about in [illegible] and very ill that I feared I should not be able to lecture, but I cast my [illegible] on the Lord and was [illegible] [illegible]llously sustained.  O let me praise him!
Our Heavenly Father, dear Rebecca, is helping you and your dear sister to do a good work - [p. 2] may his blessing rest upon you never grow weary nor faint in your minds.  Very precious are those [monthly?] faith [illegible]rings to me and very precious must they be to those poor needy mothers whose wants both temporal and spiritual you labor to effectively to supply.
I am very glad that you have Leticia [Brass?] in the school, her heart is the work.  May the great Teacher of Nazareth be her Teacher.
Dear R, I had anticipated great pleasure in spending a few days with you at Christmas, but I shall not be able to come.  Last week I received a letter from my absent brother, who still [p. 3] continues extremely ill.  He has the fever of the country accompanied with Dysentery.  Ill, and without [mercy?] above among strangers!!
I have been cast down into the very depths of sorrow and anxiety, and yet, my mind has been so impressed with the following text that drew my attention an [sic] opening my little book of “Promises of Scripture” that I believe God my Heavenly Father will spare his life “I have seen his ways and will heal him; I will lead him also and restore comfort unto him and to his mourners.”  Faith is hard put to it, but I must, I will trust, the [p. 4] weak miserable creature I seem to myself.  I am scarcely able to attend to my school duties.  How indeed, I can understand what the Psalmist meant when he Said “All thy waves and thy billows are gone over me.”
In this time of deep trial and proving very sweet to me has been the sympathy of some of my scholars.  One little girl writes thus.
“My dear Teacher,
I am sorry to see you look so sad.  I hope you are not sick, but if your brother is sick God knows what is best for us, we [p. 5] always have something to trouble us in this world.  Sometimes our faces look pleasant, but no pleasure knows what trouble is at heart.  Without trouble we cannot get to heaven.  There is a very pretty passage of Scripture which says “I cried unto the Lord with my voice, with my voice unto the Lord I did make my supplication.  I poured out my complaint before him, I showed before him my trouble.”
Another one says, “Let not your hearts be troubled, ye believe in God, believe also in me.”
Your affectionate scholar, 
Frances Robinson.
So you may see dear R, how my kind Heavenly Father strengthens and helps, me when I am brought low.
[p. 6] I thought perhaps this might encourage you to persevere in sowing good seed its [illegible]ing to the great His handman.
With much love to your sister I am very Affectionately yours.
Sean Ryan will see that I am not fit to mind.
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19237","Douglass, S. M. (Sarah Mapps), 1806-1882| Flower gardening| Hydropathy| Quaker women| Women--health| Across Racial Lines","Burlington ","[p.1]
You are very welcome my dear friend, to the account of the [?] physician, I copied it purposely for thee, and am glad that I can in my way please or oblige one whose sympathy has ever been so precious to me. 
Mayest thou find in the pure air of the country “health and cure”. O, be encouraged about your health, it seems to me that she who has wounded “waiteth to revive” both soul and body. 
Let me tell thee how the Lord sincerely comforts me. A few years ago (14 or 15) my precious mother brought from the Homestead at Burlington a little slip of 
[p.2]
Glycine or Wisteria which she planted in a little spot of earth, about three feet long, in our yard. It thrived and bore beautiful clusters of pale lilac flowers every summer during mother’s life. When she passed away we cherished it for her sake. Two years ago it died, as we supposed, as we saw nothing of it from that time. A quantity of coal ashes was thrown upon the spot and lay there all winter, about a week ago I scraped away the ashes and a day or two after judge of my surprise when I saw a little sprout of Glycine as long as my hand peeping up, green and fresh and bright literally beauty springing out of ashes. O, then rushed that sweet [?]
[p.3]
through my mind, “beauty shall spring out of ashes & life out of the dust. A little while thou shalt lie in the ground as the seed lies in the bosom of the earth, but thou shalt be raised again and thou shalt never die any more.” O, mother, there I thought of thee. O, dear R, without the [underlined]shadow[/underlined] of a doubt I believe that our mothers are gathered to the spirits of the just made perfect. Flowers have ever been to me earnest, solemn holy teachers. 
Many thanks for thy kind gift especially so as it helps me to praise God more abundantly. In the Seventh month, if nothing providential seems to present itself
[p. 4]
I am to be married. After a long season, of darkness, of deep searching and proving (in which I was enabled to say in sincerity “Thy will be done”) light has dawned uponne me and I go forward humbly and reverently in the fear of God. I very much need some sheeting with thy permission (so kindly given) I shall purchase with a part of thy gift what I need in that way. O, how precious is the love of God, he has filled thy heart with kindness to me his [?] warm and thou hast generously supplied my wants. May he give thee himself!
        As soon I have time I shall take great pleasure in copying the [?] of my dear old 
[p. 5]
Grandfather. It is indeed an honour to be the seed of the righteous. 
        I seem to be improving in health having returned to Hydropathy. I am now using wet bandaged sitting baths and foot baths. This week I have not had much palpitations. I hope that rest and country air during the vacation will set me up gain, and enable me to return to my school duties with new interest.
Fare thee well.
I am thy friend. 
S. M. Douglass
5 Mo. 30. 55
PS. It was very kind in your sister to bring me the note. I thank her for it. She looked sad. 
 
 
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19241","Douglass, S.M. (Sarah Mapps)| White, Rebecca|  Friendship| Quaker women| Faith and reason--Christianity| Across Racial Lines","Philadelphia, Pennsylvania, United States","Phila. 12.28.61
 
My dear R,
 
I got along nicely yesterday, and reached home before dark. I suppose we should have arrived earlier but the cars were detained some time at the Bridge.
 
Today my heart overflows with love to thee, my dear friend, for thy many deeds of kindness. May the Lord reward thee. 
 
Thomas was very kind and respectful to me, & I wish [p. 2] dear R, that you would thank him for me & tell him I pray God to bless him. I want him to [underlined] feel, [/underlined] as [underlined] I do, [/underlined] the immense value of a kind word!!
 
Many thanks for taking me out and for sending me home. Truly I can say I felt the everlasting arms underneath me during all my visit. 
 
It was a season of sweet rest and innocent enjoyment, and the birds, the shells, the books, the micro- [p. 3] -scope, & the tall grand [trees?] will ever be held in grateful remembrance. 
 
I feel stronger for the change of scene, and for the change of diet. 
 
Thank your aunt Susan too, for her kindness and please give my love to her and to your friend Mary.
 
May peace and love fold their wings within thy quiet habitation, is my earnest prayer.
 
Affectionately thine, 
S.M. Douglass.
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19246","Douglass, S. M. (Sarah Mapps), 1806-1882| White, Rebecca, -1906|  Faith and reason--Christianity| Friendship| Quaker women| Weather| | Across Racial Lines","32 Powel Street, Philadelphia, Pennsylvania, United States 39.960622, -75.253312","Parsonage
No. 32. Powel Street.
 
Dear friend,
 
Hetty Williams called to see me on Seventh day and said that she would convey a note to you for me, and so I could not resist the temptation of writing. It is Second day morning, 6 ‘o’clock, I am in my husband’s studay, [sic] a small three story back room overlooking, what seems to [underlined] me [/underlined] almost a Paradise of a yard, It is so sweet and pleasant, so still and quiet, (for the [p. 2] youngsters are not yet astir) the sun is throwing his beams on the tree tops making them glitter as they bend gracefully to and fro to the softest breezes that I am filled with gratitude. So shines the sun of Righteousness into my heart diffusing peace and joy. 
 
I do feel it an unspeakable mercy to be able to believe that I am in my right place. O, how earnestly, how reverently and humbly I crave the blessing of Heaven even that blessing that maketh rich [p. 3] and addeth no sorrow to it. I could pour out my heart to thee thus did I not feel assured of thy ready sympathy. If the love of our own poor fellow creatures is so precious to us, how much better is the love of Christ. So free and full, poured out upon us, all unworthy as we are, without stint or measure!
 
I rejoiced to hear that your health is improving. I hope on your return to be able to see you. I hope your sister is well. May our Heavenly Father bless [p. 4] and comfort you both is the fervent prayer of my heart. 
 
Very affectionately thy friend
S.M. Douglass
 
7 mo. 30. 55.
",,,,,,,,,,,
"Haverford","http://tricontentdm.brynmawr.edu/cdm/ref/collection/HC_DigReq/id/19249","Smith, Jane| White, Rebecca, - 1906| Blood--circulation|Friendship| Quaker women|  Across Racial Lines",,"[n.d.]
My dear Rebecca,
        Thy friendly letter was sweetly refreshing and strength-ning to me.  I feel a deep concern that I may be found worthy of all the kindnesses I receive.  May our Heavenly Father return thee a thousand fold, all thou has done unto me for his sake.  En-closed I send a note from Jane Smith, I think it may encourage thee.  The incident to which she refers is this. A gay young laday, a Hixiite friend who attended my first lecture in speaking
 
[p. 2]
of it said that she liked particularly its religious aspect.  This was a great comfort to Jane, as she has taken a deep interest in my spiritual welfare for a long time.
I gave my third lecture on the circulation of the blood, on last Fifth day afternoon. I had what I considered a good company, 38 deeply interested women.  This lecture yielded me 3 Dollars and 50 cents, a small increase, as much perhaps as my Heavenly Father thinks I can be trusted with at present.  May his ever blessed name be praised, and 
 
[3rd page missing]
",,,,,,,,,,,
